City,lat,lon,temp,wind_speed,humidity,cloudiness
east wenatchee bench,47.43,-120.28,271.33,1.07,88.0,90.0
lufilufi,-13.87,-171.6,305.15,3.6,70.0,40.0
katsuura,33.93,134.5,279.69,2.6,70.0,75.0
sooke,48.37,-123.73,277.98,2.6,87.0,20.0
haines junction,60.75,-137.51,251.168,0.67,82.0,48.0
rezh,57.37,61.4,259.868,2.29,80.0,0.0
ocampo,13.56,123.37,298.193,4.87,93.0,68.0
aneho,6.23,1.6,302.15,4.1,83.0,20.0
sao felix do xingu,-6.64,-51.99,294.393,0.92,100.0,80.0
itupiranga,-5.13,-49.33,297.15,1.0,100.0,0.0
sur,22.57,59.53,293.843,3.07,100.0,0.0
maniitsoq,65.42,-52.9,256.693,3.37,100.0,8.0
lar,27.66,54.32,281.15,2.1,81.0,0.0
avila,38.91,-76.61,268.32,1.94,68.0,1.0
tezu,27.93,96.16,280.543,0.79,89.0,0.0
merrill,42.03,-121.6,274.25,3.1,63.0,40.0
riyadh,24.63,46.72,286.15,2.52,58.0,0.0
jaen,-5.71,-78.81,290.393,0.69,97.0,88.0
northam,51.04,-4.21,280.86,2.1,81.0,40.0
mubende,0.56,31.4,290.993,1.27,82.0,24.0
male,50.74,33.7,273.043,5.62,96.0,92.0
luwuk,-0.95,122.79,296.018,2.07,100.0,92.0
bam,29.11,58.36,283.193,2.24,37.0,68.0
thinadhoo,0.53,72.93,300.768,3.49,100.0,80.0
labelle,26.76,-81.44,288.45,2.1,82.0,1.0
kaeo,-35.1,173.78,294.768,7.44,62.0,56.0
champerico,16.38,-93.6,296.15,8.7,64.0,75.0
thaba-tseka,-29.52,28.61,279.793,0.84,81.0,20.0
berdigestyakh,62.1,126.7,233.493,1.17,82.0,0.0
ankara,39.92,32.85,274.63,1.0,91.0,75.0
arraial do cabo,-22.97,-42.02,298.743,8.89,83.0,8.0
beloha,-25.17,45.06,298.093,2.69,84.0,56.0
kondinskoye,59.65,67.41,258.743,2.34,81.0,0.0
dalhousie,32.54,75.98,269.693,0.94,42.0,0.0
xining,36.62,101.77,255.493,0.69,78.0,48.0
oum hadjer,13.3,19.7,292.193,4.19,25.0,8.0
sedhiou,12.71,-15.56,292.15,1.04,82.0,0.0
auxerre,47.8,3.58,278.15,3.6,93.0,88.0
nyimba,-14.56,30.81,293.743,1.17,93.0,44.0
simao,22.76,100.79,280.418,0.89,88.0,44.0
agadez,16.97,7.99,282.618,3.02,39.0,0.0
angoram,-4.06,144.07,301.743,1.49,78.0,80.0
sola,58.89,5.65,273.58,6.67,86.0,75.0
dillon,45.22,-112.64,265.95,3.1,64.0,1.0
tura,25.52,90.21,281.243,1.12,78.0,0.0
taguatinga,-15.83,-48.06,297.15,2.6,57.0,0.0
pathein,16.78,94.73,290.668,2.24,90.0,32.0
karakol,42.49,78.39,251.343,0.69,58.0,24.0
mount gambier,-37.83,140.78,306.15,2.1,16.0,0.0
praia da vitoria,38.73,-27.07,287.15,3.09,100.0,40.0
buin,-33.73,-70.74,293.8,5.1,49.0,40.0
bialystok,53.13,23.15,268.168,7.07,86.0,76.0
mirabad,28.27,61.33,273.143,1.29,77.0,36.0
chokurdakh,70.62,147.9,241.018,1.39,40.0,56.0
acapulco,16.86,-99.88,301.15,3.6,74.0,20.0
the valley,18.22,-63.06,298.15,2.6,73.0,20.0
lensk,60.71,114.91,248.143,1.34,59.0,44.0
pitsunda,43.16,40.34,284.15,8.0,53.0,90.0
bandar-e lengeh,26.56,54.88,292.15,3.1,77.0,20.0
mantua,45.16,10.79,278.83,3.6,39.0,0.0
acajutla,13.59,-89.83,302.368,4.64,42.0,0.0
boa vista,2.82,-60.67,301.15,4.6,58.0,0.0
anloga,5.79,0.9,302.15,4.1,83.0,20.0
sapa,14.32,120.76,301.15,3.1,61.0,20.0
moranbah,-22.0,148.04,301.918,6.19,51.0,8.0
jumla,29.28,82.18,253.843,0.79,57.0,0.0
sabha,27.03,14.43,271.343,3.09,70.0,0.0
vila velha,-3.71,-38.6,300.15,1.5,88.0,40.0
puerto del rosario,28.5,-13.86,289.48,5.7,55.0,0.0
abu dhabi,24.47,54.37,291.63,0.5,77.0,0.0
mier,46.13,12.19,281.49,4.1,24.0,0.0
arlit,18.74,7.39,282.643,1.24,66.0,0.0
mahina,13.76,-10.85,293.693,3.04,36.0,0.0
scarborough,54.28,-0.41,279.54,5.7,87.0,24.0
lalgudi,10.88,78.81,293.15,4.1,82.0,20.0
zhangjiakou,40.77,114.88,253.693,5.97,22.0,0.0
chicama,-7.84,-79.15,296.15,4.6,83.0,90.0
buchanan,5.88,-10.05,297.15,3.42,94.0,20.0
galle,29.74,-97.91,281.48,1.5,73.0,90.0
rio gallegos,-51.62,-69.22,289.15,3.6,29.0,0.0
alofi,-19.06,-169.92,304.15,6.7,66.0,40.0
cidreira,-30.17,-50.22,299.268,1.84,91.0,56.0
orlovskiy,46.87,42.05,274.393,4.89,96.0,92.0
fukue,35.03,136.69,280.15,1.5,56.0,75.0
bulgan,48.81,103.53,245.243,1.82,23.0,0.0
kenai,60.55,-151.26,271.18,3.1,85.0,20.0
baoning,25.34,110.03,280.15,2.0,87.0,90.0
ewa beach,21.32,-158.01,299.17,4.6,52.0,1.0
kambove,-10.88,26.6,290.293,1.12,97.0,68.0
xaltianguis,17.1,-99.71,301.15,3.6,74.0,20.0
salym,60.06,71.48,266.393,3.02,83.0,24.0
jidong,45.25,131.14,261.143,1.17,84.0,68.0
port keats,-14.25,129.55,301.868,2.74,92.0,44.0
khatanga,71.98,102.47,245.118,7.54,54.0,56.0
blackburn,53.75,-2.48,279.82,2.6,81.0,75.0
grand gaube,-20.01,57.66,299.15,2.6,83.0,40.0
nioro,13.79,-15.05,295.993,4.32,33.0,0.0
viedma,-40.81,-62.99,299.743,5.52,32.0,0.0
aljezur,37.31,-8.8,283.043,2.59,100.0,0.0
keti bandar,24.14,67.45,291.143,6.32,100.0,8.0
banjarmasin,-3.32,114.59,298.15,1.0,94.0,40.0
port hedland,-20.31,118.58,309.15,2.6,47.0,24.0
nara,34.68,135.8,280.4,1.0,86.0,75.0
sauce,-34.65,-56.06,295.15,4.6,83.0,75.0
dampit,-7.39,111.58,297.093,1.92,100.0,56.0
ponazyrevo,58.36,46.31,268.493,3.49,85.0,76.0
ostrovnoy,68.05,39.51,260.793,2.69,79.0,48.0
erenhot,43.65,111.97,244.018,2.97,54.0,0.0
tiznit,29.7,-9.73,282.418,1.72,75.0,36.0
los llanos de aridane,28.66,-17.92,290.15,4.1,63.0,0.0
shestakovo,56.49,103.96,257.443,1.84,78.0,68.0
tuatapere,-46.13,167.69,288.243,2.87,89.0,0.0
altay,47.83,88.13,249.418,1.12,59.0,0.0
haapiti,-17.57,-149.87,303.15,6.2,70.0,75.0
tucuman,-17.17,-70.89,289.893,1.34,80.0,68.0
cocobeach,1.01,9.58,300.15,3.1,88.0,40.0
tarauaca,-8.16,-70.77,296.518,1.02,97.0,36.0
constantine,36.36,6.61,280.15,3.6,81.0,75.0
adre,13.47,22.2,288.118,1.92,52.0,8.0
almaznyy,48.03,40.04,275.15,4.0,93.0,40.0
smolenka,54.15,22.76,270.343,6.19,89.0,44.0
grindavik,63.84,-22.43,275.1,12.3,69.0,75.0
sladkovo,55.53,70.34,265.593,2.49,88.0,68.0
tual,-5.67,132.75,300.593,3.54,100.0,64.0
uray,60.13,64.8,257.393,2.74,82.0,0.0
tateyama,36.66,137.31,283.15,6.2,43.0,75.0
namatanai,-3.66,152.44,299.843,4.87,100.0,64.0
kastamonu,41.38,33.78,268.193,1.44,87.0,56.0
ionia,42.99,-85.07,271.6,3.6,76.0,90.0
waitati,-45.75,170.57,289.368,1.72,88.0,20.0
padang,-0.92,100.36,297.15,0.5,94.0,40.0
bata,1.87,9.77,299.15,2.12,100.0,40.0
bad bevensen,53.08,10.57,275.15,4.6,80.0,75.0
rtishchevo,52.26,43.79,269.193,6.34,90.0,92.0
krasnokamensk,50.1,118.04,247.143,4.29,62.0,24.0
snyder,32.72,-100.92,279.21,2.1,78.0,90.0
petropavlovsk-kamchatskiy,53.05,158.65,263.15,3.0,72.0,20.0
