City,lat,lon,temp,wind_speed,humidity,cloudiness
la asuncion,-1.64,-78.74,282.293,0.99,97.0,88.0
taber,49.79,-112.14,272.15,3.6,58.0,75.0
luanda,-8.83,13.24,298.15,1.0,83.0,20.0
pangody,65.85,74.49,262.243,1.39,79.0,76.0
walvis bay,-22.95,14.51,292.15,2.1,82.0,92.0
teya,21.05,-89.07,296.15,3.1,78.0,40.0
dalby,-27.18,151.26,303.15,3.1,37.0,0.0
menongue,-14.66,17.68,300.443,3.09,23.0,92.0
kushima,31.5,131.29,285.1,2.1,66.0,40.0
cap malheureux,-19.98,57.61,299.15,2.6,83.0,40.0
yaan,7.38,8.57,298.618,3.39,60.0,80.0
zverinogolovskoye,54.46,64.85,266.143,2.42,90.0,76.0
hambantota,6.12,81.12,296.15,2.6,100.0,20.0
port blair,11.67,92.75,300.843,5.07,100.0,36.0
amapa,15.09,-87.97,297.15,2.6,83.0,75.0
impfondo,1.62,18.06,296.518,1.57,95.0,64.0
pisticci,40.39,16.56,282.018,8.52,100.0,36.0
cherskiy,68.75,161.3,238.193,1.69,53.0,32.0
yulara,-25.24,130.99,314.15,2.6,12.0,0.0
hovd,63.83,10.7,272.67,11.3,80.0,75.0
taungdwingyi,20.0,95.55,285.843,1.37,89.0,0.0
kalmunai,7.42,81.82,295.493,1.92,100.0,68.0
baruun-urt,46.68,113.28,245.668,5.17,46.0,0.0
sao joao da barra,-21.64,-41.05,299.868,7.37,94.0,0.0
oxbow,49.23,-102.17,267.15,4.1,92.0,1.0
akhmeta,42.03,45.21,271.15,2.6,86.0,0.0
sheregesh,52.93,87.98,246.693,0.99,43.0,0.0
anchorage,61.22,-149.89,270.25,2.6,97.0,1.0
ketchikan,55.34,-131.65,280.73,2.1,96.0,75.0
hare bay,48.86,-53.99,264.15,5.1,78.0,20.0
ust-tsilma,65.44,52.15,265.143,2.64,81.0,56.0
maloy,1.0,118.1,296.693,1.24,94.0,48.0
ambilobe,-13.19,49.05,295.393,1.27,92.0,44.0
sehithwa,-20.47,22.7,294.443,3.99,83.0,48.0
nur,52.67,22.32,269.768,8.14,86.0,0.0
marti,21.15,-77.45,296.15,3.6,83.0,64.0
reinosa,43.0,-4.14,282.15,1.5,100.0,24.0
ampanihy,-24.69,44.75,295.943,1.29,85.0,56.0
touros,-5.2,-35.46,299.15,2.1,88.0,40.0
rivera,-30.9,-55.54,297.368,2.04,98.0,92.0
toora-khem,52.47,96.11,241.643,0.79,32.0,0.0
tieli,46.98,128.05,258.743,5.12,64.0,56.0
callaway,46.98,-95.91,265.61,1.5,94.0,90.0
ugoofaaru,5.67,73.0,300.093,5.12,100.0,88.0
plouzane,48.38,-4.62,280.4,1.5,81.0,90.0
makasar,-6.28,106.88,299.56,3.6,83.0,20.0
sorland,67.67,12.69,275.843,10.34,100.0,56.0
atambua,-9.11,124.89,298.793,0.54,100.0,80.0
yarada,17.65,83.27,288.15,1.0,93.0,0.0
durango,37.28,-107.88,273.84,1.17,88.0,1.0
meulaboh,4.14,96.13,297.393,1.82,100.0,80.0
teknaf,20.86,92.31,287.393,2.14,91.0,0.0
lermontovka,47.15,134.34,258.518,1.29,74.0,64.0
kieta,-6.22,155.63,302.293,1.17,85.0,36.0
mogadishu,2.04,45.34,299.093,9.19,100.0,44.0
santa vitoria do palmar,-33.52,-53.37,295.018,3.37,97.0,88.0
tiarei,-17.53,-149.33,303.15,6.2,70.0,75.0
sungaipenuh,-2.08,101.38,292.168,0.69,97.0,76.0
launceston,-41.43,147.14,302.15,5.7,37.0,64.0
kalvarija,54.41,23.23,268.518,5.07,84.0,12.0
nambucca heads,-30.64,152.99,302.15,8.2,58.0,0.0
assiniboia,49.63,-105.99,269.693,3.97,89.0,0.0
luganville,-15.51,167.18,301.943,2.94,97.0,8.0
san cristobal,-0.39,-78.55,286.09,2.6,93.0,75.0
sisimiut,66.94,-53.67,238.343,0.82,100.0,0.0
san policarpo,12.18,125.51,299.193,6.97,93.0,0.0
alyangula,-13.85,136.42,305.15,4.6,52.0,0.0
jilib,0.49,42.79,298.443,3.97,76.0,48.0
axim,4.87,-2.24,300.918,4.59,100.0,24.0
guanica,17.97,-66.91,296.15,4.6,78.0,90.0
xinzhi,22.54,120.62,294.44,1.5,73.0,40.0
cao bang,22.67,106.25,284.643,2.57,100.0,92.0
belmopan,17.25,-88.77,296.67,3.1,88.0,75.0
